code,name,market_id,category_id,color,url,listing_date,delisting_date
2124,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,1,33,,,,
2127,日本Ｍ＆Ａセンター,1,33,,,,
2130,メンバーズ,1,33,,,,
2134,燦キャピタルマネージメント,4,33,,,,
2136,ヒップ,4,33,,,,
2137,光ハイツ・ヴェラス,9,33,,,,
2138,クルーズ,4,25,,,,
2139,中広,1,33,,,,
2144,やまねメディカル,5,33,,,,
2146,ＵＴグループ,4,33,,,,
2148,アイティメディア,3,33,,,,
2150,ケアネット,3,33,,,,
2151,タケエイ,1,33,,,,
2152,幼児活動研究会,4,33,,,,
2153,Ｅ・Ｊホールディングス,1,33,,,,
2154,トラスト・テック,1,33,,,,
2156,セーラー広告,4,33,,,,
2157,コシダカホールディングス,1,33,,,,
2158,ＦＲＯＮＴＥＯ,3,33,,,,
2159,フルスピード,3,33,,,,
2160,ジーエヌアイグループ,3,8,,,,
2162,ｎｍｓホールディングス,4,33,,,,
2163,アルトナー,1,33,,,,
2164,地域新聞社,5,33,,,,
2168,パソナグループ,1,33,,,,
2169,ＣＤＳ,1,33,,,,
2170,リンクアンドモチベーション,1,33,,,,
2172,インサイト,9,33,,,,
2173,博展,5,33,,,,
2174,ＧＣＡ,1,33,,,,
2175,エス・エム・エス,1,33,,,,
2176,イナリサーチ,4,33,,,,
2178,トライステージ,3,33,,,,
2179,成学社,4,33,,,,
2180,サニーサイドアップ,5,33,,,,
2181,パーソルホールディングス,1,33,,,,
2183,リニカル,1,33,,,,
2185,シイエム・シイ,4,33,,,,
2186,ソーバル,4,33,,,,
2191,テラ,4,33,,,,
2193,クックパッド,1,33,,,,
2195,アミタホールディングス,5,33,,,,
2196,エスクリ,1,33,,,,
2198,アイ・ケイ・ケイ,1,33,,,,
2201,森永製菓,1,4,,,,
2204,中村屋,1,4,,,,
2206,江崎グリコ,1,4,,,,
2207,名糖産業,1,4,,,,
2208,ブルボン,2,4,,,,
2209,井村屋グループ,1,4,,,,
2211,不二家,1,4,,,,
2212,山崎製パン,1,4,,,,
2215,第一屋製パン,1,4,,,,
2216,カンロ,2,4,,,,
2217,モロゾフ,1,4,,,,
2218,日糧製パン,9,4,,,,
2220,亀田製菓,1,4,,,,
2221,岩塚製菓,4,4,,,,
2222,寿スピリッツ,1,4,,,,
2224,コモ,4,4,,,,
2226,湖池屋,4,4,,,,
2228,シベール,4,4,,,,
2229,カルビー,1,4,,,,
2264,森永乳業,1,4,,,,
2266,六甲バター,1,4,,,,
2267,ヤクルト本社,1,4,,,,
2268,ＢｯＲ　サーティワン　アイスクリーム,4,4,,,,
2269,明治ホールディングス,1,4,,,,
2270,雪印メグミルク,1,4,,,,
2281,プリマハム,1,4,,,,
2282,日本ハム,1,4,,,,
2286,林兼産業,1,4,,,,
2288,丸大食品,1,4,,,,
2291,福留ハム,2,4,,,,
2292,Ｓ　ＦＯＯＤＳ,1,4,,,,
2293,滝沢ハム,4,4,,,,
2294,柿安本店,4,4,,,,
2296,伊藤ハム米久ホールディングス,1,4,,,,
2300,きょくとう,4,33,,,,
